x,velocity
50.08,773.849866
50.24,770.6112601
50.4,764.155496
50.496,754.4911528
50.56,742.6863271
50.624,733.0262735
50.656,723.3705094
50.688,713.7147453
50.736,702.9844504
50.752,692.258445
50.8,681.5281501
50.832,671.8723861
50.848,662.2187668
50.88,651.4906166
50.912,640.7624665
50.944,631.1067024
50.976,620.3785523
51.008,609.6504021
51.04,599.9946381
51.088,588.1919571
51.12,579.6085791
51.168,568.8782842
51.232,560.2906166
51.344,548.4793566
51.488,543.0981233
51.648,540.9319035
51.808,539.8380697
51.952,540.8911528
52.112,545.1592493
52.272,552.644504
52.416,562.2766756
52.576,571.9067024
52.72,578.3217158
52.88,586.8793566
53.024,595.4391421
53.184,601.8520107
53.328,609.3394102
53.488,616.8246649
53.632,623.2396783
53.792,628.5801609
53.936,636.0675603
54.096,644.6252011
54.256,651.0380697
54.4,656.3806971
54.56,661.7211796
54.704,667.063807
54.864,672.4042895
55.024,677.7447721
55.168,683.0873995
55.328,688.427882
55.488,695.9131367
55.616,700.1855228
55.776,704.4536193
55.92,709.7962466
56.064,715.138874
56.224,720.4793566
56.368,724.7495979
56.528,727.9453083
56.688,733.2857909
56.848,737.5538874
56.992,741.8241287
57.152,746.0922252
57.296,750.3624665
57.44,754.6327078
57.6,758.9008043
57.76,763.1689008
57.92,767.4369973
