step,time,dt,maps,lines,max_per_line,rejected,rejected_pct,truncated,drawn,maps_per_sec
1,0.0,2.015949625e-09,89,307200,1,63879,99.86086793,0,63968,44147928547.56973
2,2.015949625e-09,2.116747106e-09,101,307200,1,76659,99.86842105,0,76760,47714722138.375275
3,4.13269673e-09,2.222584461e-09,112,307200,1,76648,99.85409067,0,76760,50391785763.50174
4,6.355281192e-09,2.333713684e-09,73,307200,1,76687,99.90489838,0,76760,31280615313.047977
5,8.688994876e-09,2.450399368e-09,106,307200,1,89446,99.88163302,0,89552,43258254709.11564
6,1.113939424e-08,2.572919337e-09,104,307200,1,89448,99.88386636,0,89552,40421010680.13389
7,1.371231358e-08,2.701565304e-09,93,307200,2,89459,99.89614972,0,89552,34424487115.78508
8,1.641387888e-08,2.836643569e-09,110,307200,1,102234,99.89251935,0,102344,38778224096.296394
9,1.925052245e-08,2.978475747e-09,114,307200,1,102230,99.88861096,0,102344,38274610802.127174
10,2.22289982e-08,3.127399535e-09,140,307200,2,114996,99.87840467,0,115136,44765626659.85049
11,2.535639774e-08,3.283769511e-09,148,307200,2,114996,99.8714653,0,115144,45070154742.66032
12,2.864016725e-08,3.447957987e-09,151,307200,1,127783,99.88197039,0,127934,43794037099.443344
13,3.208812523e-08,3.620355886e-09,146,307200,2,127790,99.88588044,0,127936,40327527071.18805
14,3.570848112e-08,3.801373681e-09,160,307200,2,140566,99.88630388,0,140726,42090047816.05947
15,3.95098548e-08,3.991442365e-09,184,307200,1,140544,99.86925132,0,140728,46098623799.11879
16,4.350129717e-08,4.191014483e-09,164,307200,1,153356,99.89317353,0,153520,39131336974.671104
17,4.769231165e-08,4.400565207e-09,166,307200,1,153354,99.89187077,0,153520,37722427050.03962
18,5.209287685e-08,4.620593467e-09,184,307200,2,166128,99.88936457,0,166312,39821724484.98595
19,5.671347032e-08,4.851623141e-09,210,307200,1,166144,99.87376318,0,166354,43284483130.055214
20,6.156509346e-08,5.094204298e-09,182,307200,2,178930,99.8983876,0,179112,35726874964.84068
21,6.665929776e-08,5.348914513e-09,254,307200,2,191650,99.86764215,0,191904,47486270229.72203
22,7.200821227e-08,5.616360238e-09,262,307200,2,204434,99.87200532,0,204696,46649429327.43553
23,7.762457251e-08,5.89717825e-09,249,307200,2,204451,99.87835857,0,204700,42223583796.19948
24,8.352175076e-08,6.192037163e-09,241,307200,2,217251,99.88919133,0,217492,38920955035.61822
25,8.971378792e-08,6.501639021e-09,270,307200,2,230016,99.88275449,0,230286,41527989961.90225
26,9.621542695e-08,6.826720972e-09,264,307200,2,242816,99.89139378,0,243080,38671567372.21338
27,1.030421479e-07,7.16805702e-09,272,307200,2,255600,99.89369685,0,255872,37946126717.61364
28,1.102102049e-07,7.526459871e-09,329,307200,2,268335,99.87754221,0,268664,43712449895.290215
29,1.177366648e-07,7.902782865e-09,328,307200,2,281134,99.88346562,0,281462,41504366955.67745
30,1.256394477e-07,8.297922008e-09,337,307200,2,293919,99.88547387,0,294256,40612577423.01017
31,1.339373697e-07,8.712818109e-09,351,307200,2,306701,99.88568711,0,307052,40285473151.03832
32,1.426501878e-07,9.148459014e-09,390,307200,2,319488,99.87807852,0,319878,42630130320.65599
33,1.517986468e-07,9.605881965e-09,429,307200,2,332245,99.87104493,0,332674,44660136525.00674
